label,pred
1,3.47E-10
1,0.9071141
1,5.33E-13
1,3.87E-07
1,0
1,0.9999077
1,1.63E-17
1,3.13E-08
1,5.34E-07
1,1.62E-12
1,0.9309232
1,0.9999196
1,3.34E-15
1,4.42E-06
1,1.09E-07
1,3.50E-08
1,1.32E-09
1,1.17E-11
1,9.56E-12
1,3.85E-11
1,7.18E-07
1,3.68E-11
1,1.53E-09
1,8.80E-17
1,1.03E-10
1,1.45E-13
1,0.9998997
1,1.47E-12
1,0.9999626
1,0.9999997
1,1.65E-07
1,1.30E-11
1,1.96E-08
1,1.50E-06
1,2.50E-07
1,0.9859072
1,0.9962102
1,1.27E-11
1,1.98E-14
1,3.45E-12
1,0.9999934
1,0.000501951
1,3.71E-09
1,2.77E-08
1,3.05E-12
1,7.49E-06
1,1.55E-09
1,5.10E-11
1,3.01E-13
1,4.21E-11
1,1.86E-06
1,8.98E-06
1,7.27E-08
1,6.17E-10
1,4.89E-06
1,9.91E-07
1,1.00E-10
1,5.75E-10
1,4.03E-07
1,2.09E-06
1,3.50E-10
1,1.15E-07
1,3.07E-11
1,1.90E-10
1,7.11E-06
1,5.12E-09
1,0.9999965
1,6.82E-15
1,0.99794954
1,2.14E-08
1,0.028072484
1,0.99404305
1,2.78E-10
1,0.9998486
1,1.34E-12
1,1.23E-08
1,9.24E-14
1,0.999988
1,2.13E-14
1,9.47E-10
1,1.35E-16
1,4.88E-32
1,1.76E-10
1,8.02E-11
1,8.06E-13
1,0
1,1.07E-13
1,3.53E-18
1,0.9951551
1,5.32E-09
1,1.53E-21
1,1.60E-06
1,0.9999985
1,1.59E-15
1,3.61E-17
1,2.84E-17
1,0.9999972
1,0.9999624
1,0.9996902
1,0
1,5.74E-12
1,4.71E-07
1,2.12E-14
1,0.9996946
1,1.19E-13
1,1.54E-08
1,6.26E-09
1,0.99999994
1,4.26E-16
1,1.99E-07
1,2.95E-08
1,0
1,5.32E-10
1,1.15E-07
1,4.43E-06
1,0.9998541
1,1.89E-13
1,0.99991006
1,0
1,4.85E-11
1,0.9995703
1,1.39E-18
1,3.21E-08
1,5.94E-08
1,5.66E-09
1,7.38E-09
1,0.9816404
1,0.91666037
1,0.9989841
1,3.31E-11
1,4.65E-16
1,0.9995907
1,0.999774
1,0.9998057
1,0.999471
1,0.99157196
1,0.9999936
1,1.05E-08
1,9.49E-05
1,3.78E-11
1,1.17E-06
1,0.9754006
1,0.99553174
1,6.10E-12
1,2.07E-09
1,4.50E-11
1,4.03E-19
1,0.9935887
1,8.90E-10
1,1.30E-12
1,4.21E-08
1,0
1,6.37E-09
1,0.9999259
1,0.9999805
1,0.88181835
1,1.66E-12
1,4.14E-08
1,5.42E-09
1,4.21E-17
1,5.59E-05
1,0.93291426
1,0.96633303
1,0.9883719
1,8.79E-08
1,3.31E-17
1,2.85E-17
1,0
1,2.72E-13
1,6.89E-15
1,1.28E-12
1,8.86E-14
1,1.10E-13
1,0.9974129
1,0
1,1.21E-07
1,7.90E-09
1,0.9999992
1,0.99999994
1,4.42E-08
1,0
1,0.99999994
1,1.41E-16
1,3.97E-05
1,9.98E-14
1,6.21E-05
1,2.65E-13
1,2.61E-10
1,6.57E-13
1,0.000475128
1,9.87E-12
1,0.9999984
1,1.33E-05
1,9.33E-06
1,0
1,1.00E-11
1,0.000124388
1,1.84E-12
1,0.99950546
1,0.9998967
1,0.99967825
1,0.9961993
1,1.48E-09
1,0.9987082
1,8.27E-09
1,6.06E-07
1,1.80E-07
1,0.9903335
1,3.46E-06
1,2.16E-08
1,0.99999875
1,0.9999922
1,5.11E-09
1,0.9999973
1,1.34E-09
1,0.9999941
1,0.99999994
1,7.75E-08
1,6.43E-07
1,3.38E-08
1,5.87E-06
1,5.89E-06
1,2.53E-05
1,0
1,0
1,4.33E-08
1,3.03E-08
1,0.9688778
1,5.55E-19
1,0.98114365
1,1.50E-07
1,0.006532543
1,0.94918174
1,0.99872416
1,0.000153201
1,5.83E-11
1,6.69E-09
1,0.000381544
1,1.18E-13
1,1.42E-18
1,1.98E-12
1,2.34E-19
1,0
1,0.9999934
1,0
1,0.99927354
1,1.16E-09
1,3.71E-07
1,1.22E-06
1,3.48E-19
1,3.12E-14
1,1.24E-16
1,2.68E-05
1,2.31E-23
